goodreads_book_id,tag_id,count
1,30574,167697
1,11305,37174
1,11557,34173
1,8717,12986
1,33114,12716
1,11743,9954
1,14017,7169
1,5207,6221
1,22743,4974
1,32989,4364
1,27199,3857
1,11590,3456
1,18886,3374
1,6953,2408
2,30574,24549
2,8717,3516
2,11305,3441
2,11557,3423
3,30574,496107
3,11557,48220
3,11305,47478
3,8717,44640
3,33114,14984
3,11743,13239
3,14017,8559
3,5207,7917
3,22743,6066
3,22743,6065
3,32989,5276
3,27199,5140
3,11590,4769
3,18886,4302
3,6953,3828
3,24960,3163
3,6857,2571
3,1691,2430
3,22753,2350
5,11557,40087
5,11305,39330
5,8717,17944
5,33114,12856
5,30574,11909
5,11743,10656
5,14017,7607
5,5207,6640
5,22743,5164
5,32989,4298
5,11590,4267
5,27199,4199
5,18886,3618
5,6953,2960
5,24960,2311
6,11305,38378
6,33114,12979
6,11743,10249
6,14017,7472
6,22743,4977
6,32989,4383
6,27199,4007
6,11590,3597
6,6953,2656
6,24960,2065
8,30574,2823
10,30574,3226
11,30574,32303
11,8717,11955
11,26837,10977
11,11557,10173
11,26771,9773
11,11743,7012
11,15048,4397
11,11305,3428
11,7457,2829
13,30574,75870
13,8717,8571
13,11557,3245
13,26837,2614
13,26771,2478
21,30574,33603
21,8717,12685
21,14552,3160
24,31155,2312
26,30574,27858
27,30574,31357
28,30574,35420
28,31155,2191
28,21689,2006
29,30574,5492
33,30574,116442
33,11305,13690
33,8717,11180
33,11557,8090
33,7457,3904
33,11743,3758
34,11305,31618
34,30574,15494
34,7457,7966
34,11743,7187
34,5207,2770
50,8717,2212
50,33114,2121
67,30574,8621
93,30574,27829
93,7457,2886
112,26837,2762
112,26771,2136
117,30574,12731
119,30574,2949
122,30574,29584
231,30574,5250
264,7457,2632
275,30574,17593
295,30574,108955
295,8717,16226
295,7457,8727
295,11743,3299
350,26837,4665
350,30574,4020
350,26771,3641
350,8717,3012
350,11743,2069
353,30574,8265
355,30574,2841
357,30574,8024
359,30574,2651
360,30574,25198
360,26837,2434
360,26771,2060
365,30574,3562
378,30574,55030
378,11557,3461
378,11305,2880
400,30574,5798
415,30574,24664
424,30574,4161
431,30574,3213
432,30574,5159
446,30574,6029
449,30574,3880
475,30574,52981
475,8717,2645
597,30574,14205
599,30574,12293
621,30574,6392
629,30574,15855
629,8717,10483
629,23471,2932
662,30574,12653
662,11743,4365
662,7457,3165
662,11557,2290
665,30574,9753
667,30574,7047
676,30574,9349
698,30574,4108
703,30574,7445
706,30574,36492
771,26816,2944
771,30574,2147
816,30574,48722
816,8717,4016
822,30574,2695
823,30574,18802
825,30574,4142
827,30574,5580
830,30574,4409
830,8717,3929
830,26837,3911
830,26771,3277
830,11743,2190
840,30574,16424
840,8717,2403
865,30574,596234
865,8717,26269
865,11743,9712
865,11557,8698
865,7457,3089
865,11305,2297
880,30574,5809
890,7457,19214
890,30574,12443
890,11743,9439
890,11557,5732
890,7404,3446
890,26735,2042
900,30574,7612
902,30574,53759
902,20939,2666
903,30574,8440
930,30574,436097
930,11557,8385
930,11743,8127
930,14487,7195
930,8717,6341
960,30574,26678
960,11743,9364
960,20939,5740
960,11557,5077
960,30358,4563
968,11743,13725
968,8717,9968
968,11557,6024
968,30358,5358
968,30574,5231
968,5207,2283
968,22743,2235
968,8865,2013
976,30574,18861
976,11743,3201
976,30358,2273
998,30574,37679
998,8717,2198
1032,30574,2216
1052,30574,41683
1052,8717,2144
1067,30574,114474
1067,14552,4413
1067,8717,3394
1097,30574,90506
1097,21689,3640
1103,30574,136892
1103,14487,3432
1103,11743,2442
1110,30574,3160
1171,30574,13446
1191,30574,23024
1192,30574,36620
1202,30574,9160
1202,21773,2959
1241,30574,12142
1274,30574,79656
1274,8717,7709
1295,30574,7742
1301,30574,11060
1303,30574,27849
1303,8717,3416
1305,30574,8317
1319,30574,16377
1420,30574,139322
1420,8717,14487
1420,7457,13787
1420,23743,6984
1420,11557,5203
1420,11743,3145
1420,27438,2850
1420,9886,2510
1420,7404,2232
1426,30574,2238
1427,30574,2915
1428,30574,23800
1430,30574,37795
1430,8717,3255
1431,30574,2910
1617,30574,51054
1617,21689,5705
1617,8717,4704
1617,11557,3917
1617,7457,3905
1617,14552,2936
1617,21773,2742
1618,30574,31674
1622,30574,94350
1622,7457,9438
1622,8717,6231
1622,23743,5185
1622,11557,2507
1622,27438,2397
1624,30574,7791
1625,30574,40397
1625,7457,4199
1625,23743,2926
1627,30574,10796
1633,30574,8942
1635,30574,3882
1823,30574,6698
1824,30574,7318
1842,30574,49043
1842,8717,4128
1845,30574,144278
1845,21689,6361
1845,8717,6049
1845,11557,3214
1845,21773,2370
1846,30574,26990
1848,30574,30310
1852,8717,7195
1852,7457,5666
1852,11743,2967
1869,30574,4248
1885,7457,35772
1885,11557,31163
1885,11743,11000
1885,26138,8756
1885,7404,6542
1885,5207,4333
1885,22743,3288
1885,11590,2943
1885,14487,2813
1885,18367,2175
1897,30574,2913
1898,30574,21613
1911,30574,55202
1911,8717,2537
1934,30574,345105
1934,8717,27954
1934,7457,20533
1934,11557,7377
1934,11743,5990
1934,7404,3765
1934,33114,2123
1934,14487,2099
1953,30574,402942
1953,8717,33064
1953,7457,16170
1953,11743,5394
1953,11557,4000
1953,7404,2830
1953,14487,2515
2002,30574,5880
2049,30574,4484
2054,30574,2695
2067,30574,15525
2068,30574,16024
2094,30574,2689
2122,30574,127319
2122,8717,7909
2122,11743,3692
2122,7457,2578
2122,11557,2462
2137,30574,9957
2156,30574,220502
2156,7457,14048
2156,8717,10402
2156,11557,5873
2156,11743,3865
2156,26138,3048
2156,7404,2309
2159,30574,3889
2165,7457,10485
2165,11743,6306
2165,8717,5831
2165,11557,2735
2175,30574,115746
2175,8717,8718
2175,7457,6900
2175,11743,2810
2187,30574,299006
2187,8717,7904
2187,11743,6142
2187,11557,4701
2199,30574,141668
2199,8717,6008
2199,14552,3124
2203,30574,172823
2203,8717,3543
2203,14552,3109
2203,4605,2591
2255,30574,25400
2279,30574,10376
2371,30574,3162
2372,30574,2217
2373,30574,53438
2430,30574,5811
2442,11305,3855
2493,30574,155806
2493,8717,8280
2493,7457,6362
2493,26837,5287
2493,26771,3792
2493,11743,2749
2526,30574,90500
2526,8717,4498
2526,11743,2546
2526,11557,2239
2528,30574,2552
2612,30574,320295
2612,8717,9353
2612,21689,6234
2612,21773,2179
2612,5951,2079
2615,30574,9759
2623,30574,227548
2623,8717,17320
2623,7457,15539
2623,11743,5149
2623,11557,3134
2623,7404,2504
2657,7457,31068
2657,11557,30903
2657,30574,10108
2657,7404,6309
2657,14487,4735
2657,22743,3059
2657,26735,2992
2657,11590,2626
2657,18367,2505
2657,33114,2436
2666,30574,2854
2743,30574,13402
2744,30574,74770
2744,11305,6666
2744,8717,3580
2744,11743,2301
2748,30574,3030
2767,30574,166850
2767,8717,11011
2767,14552,4610
2767,21689,2673
2784,30574,3829
2794,30574,24108
2839,30574,15173
2839,11557,2283
2839,33114,2245
2865,30574,177278
2865,14487,5028
2865,11743,2943
2915,30574,3826
2932,30574,72088
2932,7457,5907
2932,8717,4566
2932,11743,2460
2956,8717,20158
2956,7457,17401
2956,11743,7519
2956,7404,3227
2956,11557,2615
2998,30574,222156
2998,7457,12224
2998,8717,6309
2998,11557,5435
2998,11743,3873
2998,6953,2688
2998,7404,2416
3008,30574,89682
3008,8717,7484
3008,7457,5576
3008,11557,2894
3028,30574,4015
3061,30574,14615
3087,30574,4733
3087,7457,4067
3102,30574,2772
3103,30574,6027
3109,30574,116840
3109,8717,7812
3109,21689,4525
3109,12175,2752
3110,30574,7265
3291,30574,5424
3304,30574,7072
3368,30574,10540
3378,30574,10863
3381,30574,9073
3384,30574,2148
3412,30574,5744
3431,30574,9801
3446,30574,5648
3447,30574,6057
3462,30574,4614
3463,30574,24635
3464,30574,4460
3465,30574,7771
3466,30574,61192
3466,8717,2070
3467,30574,13654
3476,30574,17101
3478,30574,19366
3507,30574,5087
3562,30574,17224
3581,30574,10202
3586,30574,16603
3590,30574,8891
3590,7457,4843
3590,20939,3587
3590,11743,2160
3636,30574,8433
3656,30574,2259
3679,30574,2870
3682,30574,47489
3685,30574,42465
3685,7457,3860
3686,30574,8288
3692,30574,2178
3711,30574,44784
3711,11743,2450
3750,30574,5315
3757,30574,5192
3758,30574,20796
3760,30574,2066
3762,30574,5567
3764,30574,7448
3805,30574,6653
3805,8717,3988
3805,11743,2711
3832,30574,14131
3836,7457,6219
3836,11743,2922
3858,30574,3880
3867,30574,5480
3867,11743,2130
3869,8717,11691
3869,30574,8163
3869,26816,5922
3869,21689,4147
3872,30574,4565
3873,30574,66230
3876,30574,6673
3876,7457,6005
3876,8717,5479
3876,11743,4085
3876,11557,2456
3882,30574,31133
3885,30574,7893
3888,30574,23964
3895,30574,27379
3972,30574,4364
3974,30574,23796
3977,30574,10286
3980,30574,37169
3985,30574,29685
3985,8717,5407
3985,11743,3721
3985,11557,2738
4004,30574,20107
4035,30574,5044
4076,30574,4082
4099,30574,3997
4122,30574,2377
4135,30574,6054
4136,30574,31077
4137,30574,5143
4137,15048,3613
4137,21689,3509
4137,11557,2655
4137,19733,2043
4138,30574,80238
4138,15048,2067
4143,30574,13765
4214,30574,11658
4214,11305,2012
4264,30574,12198
4271,30574,2647
4325,30574,2596
4339,30574,8692
4373,30574,2458
4381,30574,16325
4381,7457,14903
4381,8717,12454
4381,11557,10292
4381,11743,9502
4381,26837,8319
4381,26771,5796
4381,10059,4496
4381,10064,3804
4381,7404,2694
4395,30574,28776
4395,7457,10927
4395,11743,5804
4395,11557,3727
4406,30574,11566
4406,7457,7128
4406,11743,4260
4406,8717,2374
4407,11305,16071
4407,11557,7662
4407,30574,6635
4407,11743,6342
4407,31617,2048
4473,30574,34567
4473,11743,3544
4473,11557,3122
4507,30574,6002
